candidate,early_vote,electday_vote,absentee_vote,total_vote,perc,id,county
Larry  Hogan and Boyd K. Rutherford,"1,998","4,066",306,"6,370",73.3%,15,Kent
Ben  Jealous and Susan  Turnbull,941,"1,118",163,"2,222",25.6%,15,Kent
Shawn  Quinn and Christina  Smith,12,28,3,43,0.5%,15,Kent
Ian  Schlakman and Annie  Chambers,21,34,2,57,0.7%,15,Kent
Other Write-Ins,0,2,0,2,0.0%,15,Kent
Larry  Hogan and Boyd K. Rutherford,"45,210","116,654","18,154","180,018",44.1%,16,Montgomery
Ben  Jealous and Susan  Turnbull,"67,582","130,108","26,339","224,029",54.9%,16,Montgomery
Shawn  Quinn and Christina  Smith,324,"1,352",246,"1,922",0.5%,16,Montgomery
Ian  Schlakman and Annie  Chambers,520,"1,294",296,"2,110",0.5%,16,Montgomery
Other Write-Ins,124,187,38,349,0.1%,16,Montgomery
Larry  Hogan and Boyd K. Rutherford,"30,853","53,012","6,060","89,925",28.2%,17,Prince George's
Ben  Jealous and Susan  Turnbull,"70,630","139,665","15,594","225,889",70.8%,17,Prince George's
Shawn  Quinn and Christina  Smith,323,"1,018",128,"1,469",0.5%,17,Prince George's
Ian  Schlakman and Annie  Chambers,437,888,98,"1,423",0.4%,17,Prince George's
Other Write-Ins,112,146,21,279,0.1%,17,Prince George's
Larry  Hogan and Boyd K. Rutherford,"7,451","11,267",785,"19,503",84.9%,18,Queen Anne's
Ben  Jealous and Susan  Turnbull,"1,473","1,546",249,"3,268",14.2%,18,Queen Anne's
Shawn  Quinn and Christina  Smith,25,69,5,99,0.4%,18,Queen Anne's
Ian  Schlakman and Annie  Chambers,43,37,6,86,0.4%,18,Queen Anne's
Other Write-Ins,9,4,2,15,0.1%,18,Queen Anne's
Larry  Hogan and Boyd K. Rutherford,"7,216","21,971","1,516","30,703",76.0%,19,St. Mary's
Ben  Jealous and Susan  Turnbull,"2,383","5,870",831,"9,084",22.5%,19,St. Mary's
Shawn  Quinn and Christina  Smith,61,316,33,410,1.0%,19,St. Mary's
Ian  Schlakman and Annie  Chambers,33,118,19,170,0.4%,19,St. Mary's
Other Write-Ins,5,20,2,27,0.1%,19,St. Mary's
Larry  Hogan and Boyd K. Rutherford,"1,467","3,456",280,"5,203",67.6%,20,Somerset
Ben  Jealous and Susan  Turnbull,654,"1,330",395,"2,379",30.9%,20,Somerset
Shawn  Quinn and Christina  Smith,15,47,9,71,0.9%,20,Somerset
Ian  Schlakman and Annie  Chambers,10,20,3,33,0.4%,20,Somerset
Other Write-Ins,5,11,0,16,0.2%,20,Somerset
Larry  Hogan and Boyd K. Rutherford,"6,475","6,881",725,"14,081",77.4%,21,Talbot
Ben  Jealous and Susan  Turnbull,"1,912","1,725",320,"3,957",21.8%,21,Talbot
Shawn  Quinn and Christina  Smith,22,51,6,79,0.4%,21,Talbot
Ian  Schlakman and Annie  Chambers,33,29,4,66,0.4%,21,Talbot
Other Write-Ins,3,4,0,7,0.0%,21,Talbot
Larry  Hogan and Boyd K. Rutherford,"6,328","30,286","2,151","38,765",76.8%,22,Washington
Ben  Jealous and Susan  Turnbull,"2,239","7,372","1,283","10,894",21.6%,22,Washington
Shawn  Quinn and Christina  Smith,50,397,44,491,1.0%,22,Washington
Ian  Schlakman and Annie  Chambers,37,195,36,268,0.5%,22,Washington
Other Write-Ins,8,34,1,43,0.1%,22,Washington
Larry  Hogan and Boyd K. Rutherford,"6,637","14,789","1,233","22,659",67.6%,23,Wicomico
Ben  Jealous and Susan  Turnbull,"3,247","6,329",850,"10,426",31.1%,23,Wicomico
Shawn  Quinn and Christina  Smith,58,196,30,284,0.8%,23,Wicomico
Ian  Schlakman and Annie  Chambers,40,92,9,141,0.4%,23,Wicomico
Other Write-Ins,7,15,2,24,0.1%,23,Wicomico
Larry  Hogan and Boyd K. Rutherford,"5,057","11,868","1,151","18,076",76.1%,24,Worcester
Ben  Jealous and Susan  Turnbull,"1,572","3,477",388,"5,437",22.9%,24,Worcester
Shawn  Quinn and Christina  Smith,25,111,12,148,0.6%,24,Worcester
Ian  Schlakman and Annie  Chambers,16,59,7,82,0.3%,24,Worcester
Other Write-Ins,6,5,1,12,0.1%,24,Worcester
