date,number_of_homicides
2007-08-06,26.0
2007-08-07,27.0
2007-08-08,27.0
2007-08-09,27.0
2007-08-10,27.0
2007-08-11,26.0
2007-08-12,27.0
2007-08-13,26.0
2007-08-14,22.0
2007-08-15,23.0
2007-08-16,22.0
2007-08-17,21.0
2007-08-18,22.0
2007-08-19,22.0
2007-08-20,22.0
2007-08-21,22.0
2007-08-22,22.0
2007-08-23,23.0
2007-08-24,23.0
2007-08-25,23.0
2007-08-26,23.0
2007-08-27,22.0
2007-08-28,23.0
2007-08-29,23.0
2007-08-30,24.0
2007-08-31,23.0
2007-09-01,20.0
2007-09-02,20.0
2007-09-03,20.0
2007-09-04,23.0
2007-09-05,23.0
2007-09-06,21.0
2007-09-07,21.0
2007-09-08,20.0
2007-09-09,20.0
2007-09-10,20.0
2007-09-11,19.0
2007-09-12,19.0
2007-09-13,19.0
2007-09-14,18.0
2007-09-15,20.0
2007-09-16,23.0
2007-09-17,23.0
2007-09-18,23.0
2007-09-19,24.0
2007-09-20,25.0
2007-09-21,25.0
2007-09-22,26.0
2007-09-23,26.0
2007-09-24,25.0
2007-09-25,25.0
2007-09-26,25.0
2007-09-27,24.0
2007-09-28,25.0
2007-09-29,23.0
2007-09-30,22.0
2007-10-01,21.0
2007-10-02,21.0
2007-10-03,21.0
2007-10-04,17.0
2007-10-05,18.0
2007-10-06,20.0
2007-10-07,20.0
2007-10-08,20.0
2007-10-09,21.0
2007-10-10,21.0
2007-10-11,22.0
2007-10-12,22.0
2007-10-13,23.0
2007-10-14,24.0
2007-10-15,23.0
2007-10-16,20.0
2007-10-17,18.0
2007-10-18,19.0
2007-10-19,20.0
2007-10-20,19.0
2007-10-21,19.0
2007-10-22,17.0
2007-10-23,17.0
2007-10-24,17.0
2007-10-25,16.0
2007-10-26,16.0
2007-10-27,16.0
2007-10-28,15.0
2007-10-29,16.0
2007-10-30,18.0
2007-10-31,20.0
2007-11-01,20.0
2007-11-02,21.0
2007-11-03,22.0
2007-11-04,22.0
2007-11-05,21.0
2007-11-06,21.0
2007-11-07,21.0
2007-11-08,21.0
2007-11-09,20.0
2007-11-10,19.0
2007-11-11,20.0
2007-11-12,20.0
2007-11-13,21.0
2007-11-14,19.0
2007-11-15,20.0
2007-11-16,21.0
2007-11-17,20.0
2007-11-18,18.0
2007-11-19,18.0
2007-11-20,18.0
2007-11-21,18.0
2007-11-22,18.0
2007-11-23,21.0
2007-11-24,20.0
2007-11-25,19.0
2007-11-26,20.0
2007-11-27,20.0
2007-11-28,20.0
2007-11-29,19.0
2007-11-30,17.0
2007-12-01,17.0
2007-12-02,17.0
2007-12-03,17.0
2007-12-04,16.0
2007-12-05,15.0
2007-12-06,15.0
2007-12-07,15.0
2007-12-08,14.0
2007-12-09,14.0
2007-12-10,15.0
2007-12-11,14.0
2007-12-12,13.0
2007-12-13,11.0
2007-12-14,12.0
2007-12-15,11.0
2007-12-16,11.0
2007-12-17,11.0
2007-12-18,12.0
2007-12-19,12.0
2007-12-20,13.0
2007-12-21,14.0
2007-12-22,14.0
2007-12-23,11.0
2007-12-24,13.0
2007-12-25,13.0
2007-12-26,13.0
2007-12-27,13.0
2007-12-28,13.0
2007-12-29,12.0
2007-12-30,12.0
2007-12-31,12.0
2008-01-01,12.0
2008-01-02,11.0
2008-01-03,11.0
2008-01-04,12.0
2008-01-05,12.0
2008-01-06,12.0
2008-01-07,12.0
2008-01-08,13.0
2008-01-09,13.0
2008-01-10,13.0
2008-01-11,13.0
2008-01-12,14.0
2008-01-13,13.0
2008-01-14,14.0
2008-01-15,13.0
2008-01-16,14.0
2008-01-17,15.0
2008-01-18,15.0
2008-01-19,15.0
2008-01-20,14.0
2008-01-21,14.0
2008-01-22,14.0
2008-01-23,12.0
2008-01-24,12.0
2008-01-25,14.0
2008-01-26,14.0
2008-01-27,13.0
2008-01-28,13.0
2008-01-29,13.0
2008-01-30,14.0
2008-01-31,13.0
2008-02-01,13.0
2008-02-02,15.0
2008-02-03,14.0
2008-02-04,14.0
2008-02-05,14.0
2008-02-06,14.0
2008-02-07,15.0
2008-02-08,14.0
2008-02-09,14.0
2008-02-10,14.0
2008-02-11,13.0
2008-02-12,13.0
2008-02-13,12.0
2008-02-14,12.0
2008-02-15,13.0
2008-02-16,12.0
2008-02-17,12.0
2008-02-18,11.0
2008-02-19,12.0
2008-02-20,13.0
2008-02-21,13.0
2008-02-22,13.0
2008-02-23,13.0
2008-02-24,11.0
2008-02-25,12.0
2008-02-26,12.0
2008-02-27,14.0
2008-02-28,14.0
2008-02-29,14.0
2008-03-01,15.0
2008-03-02,15.0
2008-03-03,14.0
2008-03-04,15.0
2008-03-05,15.0
2008-03-06,15.0
2008-03-07,16.0
2008-03-08,14.0
2008-03-09,16.0
2008-03-10,17.0
2008-03-11,18.0
2008-03-12,18.0
2008-03-13,19.0
2008-03-14,21.0
2008-03-15,22.0
2008-03-16,20.0
2008-03-17,19.0
2008-03-18,19.0
2008-03-19,19.0
2008-03-20,19.0
2008-03-21,18.0
2008-03-22,19.0
2008-03-23,21.0
2008-03-24,22.0
2008-03-25,21.0
2008-03-26,21.0
2008-03-27,22.0
2008-03-28,20.0
2008-03-29,20.0
2008-03-30,24.0
2008-03-31,24.0
2008-04-01,25.0
2008-04-02,24.0
2008-04-03,24.0
2008-04-04,24.0
2008-04-05,24.0
2008-04-06,23.0
2008-04-07,23.0
2008-04-08,21.0
2008-04-09,20.0
2008-04-10,19.0
2008-04-11,19.0
2008-04-12,19.0
2008-04-13,18.0
2008-04-14,18.0
2008-04-15,18.0
2008-04-16,19.0
2008-04-17,19.0
2008-04-18,20.0
2008-04-19,19.0
2008-04-20,20.0
2008-04-21,21.0
2008-04-22,19.0
2008-04-23,18.0
2008-04-24,18.0
2008-04-25,17.0
2008-04-26,16.0
2008-04-27,16.0
2008-04-28,16.0
2008-04-29,11.0
2008-04-30,10.0
2008-05-01,10.0
2008-05-02,10.0
2008-05-03,10.0
2008-05-04,13.0
2008-05-05,14.0
2008-05-06,15.0
2008-05-07,16.0
2008-05-08,16.0
2008-05-09,17.0
2008-05-10,17.0
2008-05-11,18.0
2008-05-12,17.0
2008-05-13,16.0
2008-05-14,16.0
2008-05-15,19.0
2008-05-16,19.0
2008-05-17,19.0
2008-05-18,20.0
2008-05-19,21.0
2008-05-20,20.0
2008-05-21,18.0
2008-05-22,18.0
2008-05-23,18.0
2008-05-24,19.0
2008-05-25,20.0
2008-05-26,20.0
2008-05-27,20.0
2008-05-28,21.0
2008-05-29,21.0
2008-05-30,21.0
2008-05-31,20.0
2008-06-01,21.0
2008-06-02,21.0
2008-06-03,19.0
2008-06-04,18.0
2008-06-05,17.0
2008-06-06,16.0
2008-06-07,16.0
2008-06-08,15.0
2008-06-09,16.0
2008-06-10,15.0
2008-06-11,16.0
2008-06-12,18.0
2008-06-13,18.0
2008-06-14,18.0
2008-06-15,17.0
2008-06-16,17.0
2008-06-17,17.0
2008-06-18,16.0
2008-06-19,18.0
2008-06-20,19.0
2008-06-21,19.0
2008-06-22,25.0
2008-06-23,24.0
2008-06-24,24.0
2008-06-25,24.0
2008-06-26,25.0
2008-06-27,25.0
2008-06-28,25.0
2008-06-29,26.0
2008-06-30,26.0
2008-07-01,25.0
2008-07-02,24.0
2008-07-03,23.0
2008-07-04,23.0
2008-07-05,23.0
2008-07-06,25.0
2008-07-07,26.0
2008-07-08,26.0
2008-07-09,25.0
2008-07-10,25.0
2008-07-11,25.0
2008-07-12,23.0
2008-07-13,24.0
2008-07-14,21.0
2008-07-15,21.0
2008-07-16,21.0
2008-07-17,19.0
2008-07-18,20.0
2008-07-19,19.0
2008-07-20,19.0
2008-07-21,22.0
2008-07-22,16.0
2008-07-23,16.0
2008-07-24,15.0
2008-07-25,17.0
2008-07-26,16.0
2008-07-27,16.0
2008-07-28,17.0
2008-07-29,18.0
2008-07-30,19.0
2008-07-31,19.0
2008-08-01,19.0
2008-08-02,19.0
2008-08-03,19.0
2008-08-04,19.0
2008-08-05,18.0
2008-08-06,18.0
2008-08-07,19.0
2008-08-08,22.0
2008-08-09,23.0
2008-08-10,22.0
2008-08-11,22.0
2008-08-12,22.0
2008-08-13,23.0
2008-08-14,24.0
2008-08-15,25.0
2008-08-16,25.0
2008-08-17,25.0
2008-08-18,24.0
2008-08-19,23.0
2008-08-20,20.0
2008-08-21,21.0
2008-08-22,22.0
2008-08-23,22.0
2008-08-24,20.0
2008-08-25,21.0
2008-08-26,20.0
2008-08-27,21.0
2008-08-28,19.0
2008-08-29,18.0
2008-08-30,19.0
2008-08-31,22.0
2008-09-01,22.0
2008-09-02,22.0
2008-09-03,22.0
2008-09-04,22.0
2008-09-05,21.0
2008-09-06,21.0
2008-09-07,18.0
2008-09-08,17.0
2008-09-09,19.0
2008-09-10,19.0
2008-09-11,18.0
2008-09-12,17.0
2008-09-13,16.0
2008-09-14,17.0
2008-09-15,17.0
2008-09-16,16.0
2008-09-17,16.0
2008-09-18,16.0
2008-09-19,16.0
2008-09-20,16.0
2008-09-21,15.0
2008-09-22,15.0
2008-09-23,15.0
2008-09-24,15.0
2008-09-25,15.0
2008-09-26,14.0
2008-09-27,14.0
2008-09-28,15.0
2008-09-29,15.0
2008-09-30,13.0
2008-10-01,13.0
2008-10-02,14.0
2008-10-03,14.0
2008-10-04,15.0
2008-10-05,15.0
2008-10-06,18.0
2008-10-07,18.0
2008-10-08,18.0
2008-10-09,16.0
2008-10-10,16.0
2008-10-11,15.0
2008-10-12,18.0
2008-10-13,18.0
2008-10-14,18.0
2008-10-15,19.0
2008-10-16,19.0
2008-10-17,19.0
2008-10-18,19.0
2008-10-19,19.0
2008-10-20,19.0
2008-10-21,20.0
2008-10-22,22.0
2008-10-23,23.0
2008-10-24,22.0
2008-10-25,24.0
2008-10-26,23.0
2008-10-27,23.0
2008-10-28,22.0
2008-10-29,22.0
2008-10-30,21.0
2008-10-31,22.0
2008-11-01,22.0
2008-11-02,23.0
2008-11-03,22.0
2008-11-04,22.0
2008-11-05,18.0
2008-11-06,18.0
2008-11-07,20.0
2008-11-08,20.0
2008-11-09,20.0
2008-11-10,21.0
2008-11-11,18.0
2008-11-12,20.0
2008-11-13,18.0
2008-11-14,17.0
2008-11-15,17.0
2008-11-16,18.0
2008-11-17,19.0
2008-11-18,23.0
2008-11-19,22.0
2008-11-20,21.0
2008-11-21,21.0
2008-11-22,21.0
2008-11-23,24.0
2008-11-24,23.0
2008-11-25,24.0
2008-11-26,25.0
2008-11-27,26.0
2008-11-28,25.0
2008-11-29,25.0
2008-11-30,28.0
2008-12-01,29.0
2008-12-02,29.0
2008-12-03,28.0
2008-12-04,28.0
2008-12-05,29.0
2008-12-06,31.0
2008-12-07,30.0
2008-12-08,30.0
2008-12-09,30.0
2008-12-10,30.0
2008-12-11,31.0
2008-12-12,29.0
2008-12-13,29.0
2008-12-14,29.0
2008-12-15,31.0
2008-12-16,31.0
2008-12-17,30.0
2008-12-18,26.0
2008-12-19,27.0
2008-12-20,27.0
2008-12-21,25.0
2008-12-22,24.0
2008-12-23,23.0
2008-12-24,22.0
2008-12-25,22.0
2008-12-26,22.0
2008-12-27,21.0
2008-12-28,22.0
2008-12-29,23.0
2008-12-30,20.0
2008-12-31,18.0
2009-01-01,17.0
2009-01-02,20.0
2009-01-03,20.0
2009-01-04,22.0
2009-01-05,22.0
2009-01-06,23.0
2009-01-07,24.0
2009-01-08,24.0
2009-01-09,25.0
2009-01-10,24.0
2009-01-11,24.0
2009-01-12,24.0
2009-01-13,24.0
2009-01-14,23.0
2009-01-15,22.0
2009-01-16,22.0
2009-01-17,23.0
2009-01-18,22.0
2009-01-19,22.0
2009-01-20,22.0
2009-01-21,22.0
2009-01-22,20.0
2009-01-23,20.0
2009-01-24,19.0
2009-01-25,19.0
2009-01-26,20.0
2009-01-27,20.0
2009-01-28,20.0
2009-01-29,20.0
2009-01-30,21.0
2009-01-31,21.0
2009-02-01,19.0
2009-02-02,19.0
2009-02-03,16.0
2009-02-04,17.0
2009-02-05,15.0
2009-02-06,14.0
2009-02-07,14.0
2009-02-08,12.0
2009-02-09,13.0
2009-02-10,14.0
2009-02-11,15.0
2009-02-12,16.0
2009-02-13,15.0
2009-02-14,16.0
2009-02-15,16.0
2009-02-16,17.0
2009-02-17,17.0
2009-02-18,17.0
2009-02-19,17.0
2009-02-20,17.0
2009-02-21,18.0
2009-02-22,20.0
2009-02-23,20.0
2009-02-24,19.0
2009-02-25,18.0
2009-02-26,18.0
2009-02-27,17.0
2009-02-28,16.0
2009-03-01,16.0
2009-03-02,16.0
2009-03-03,15.0
2009-03-04,15.0
2009-03-05,16.0
2009-03-06,14.0
2009-03-07,15.0
2009-03-08,16.0
2009-03-09,16.0
2009-03-10,16.0
2009-03-11,15.0
2009-03-12,14.0
2009-03-13,14.0
2009-03-14,14.0
2009-03-15,14.0
2009-03-16,13.0
2009-03-17,16.0
2009-03-18,14.0
2009-03-19,14.0
2009-03-20,14.0
2009-03-21,15.0
2009-03-22,16.0
2009-03-23,16.0
2009-03-24,14.0
2009-03-25,14.0
2009-03-26,16.0
2009-03-27,16.0
2009-03-28,15.0
2009-03-29,16.0
2009-03-30,16.0
2009-03-31,16.0
2009-04-01,18.0
2009-04-02,19.0
2009-04-03,20.0
2009-04-04,20.0
2009-04-05,21.0
2009-04-06,20.0
2009-04-07,19.0
2009-04-08,20.0
2009-04-09,20.0
2009-04-10,20.0
2009-04-11,21.0
2009-04-12,20.0
2009-04-13,20.0
2009-04-14,20.0
2009-04-15,22.0
2009-04-16,19.0
2009-04-17,19.0
2009-04-18,21.0
2009-04-19,21.0
2009-04-20,20.0
2009-04-21,22.0
2009-04-22,21.0
2009-04-23,22.0
2009-04-24,22.0
2009-04-25,22.0
2009-04-26,22.0
2009-04-27,23.0
2009-04-28,22.0
2009-04-29,22.0
2009-04-30,21.0
2009-05-01,19.0
2009-05-02,19.0
2009-05-03,19.0
2009-05-04,18.0
2009-05-05,17.0
2009-05-06,17.0
2009-05-07,17.0
2009-05-08,18.0
2009-05-09,19.0
2009-05-10,19.0
2009-05-11,18.0
2009-05-12,18.0
2009-05-13,17.0
2009-05-14,17.0
2009-05-15,15.0
2009-05-16,15.0
2009-05-17,16.0
2009-05-18,14.0
2009-05-19,14.0
2009-05-20,14.0
2009-05-21,13.0
2009-05-22,13.0
2009-05-23,13.0
2009-05-24,15.0
2009-05-25,15.0
2009-05-26,15.0
2009-05-27,16.0
2009-05-28,17.0
2009-05-29,17.0
2009-05-30,19.0
2009-05-31,20.0
2009-06-01,19.0
2009-06-02,19.0
2009-06-03,20.0
2009-06-04,19.0
2009-06-05,19.0
2009-06-06,19.0
2009-06-07,18.0
2009-06-08,18.0
2009-06-09,18.0
2009-06-10,21.0
2009-06-11,21.0
2009-06-12,21.0
2009-06-13,21.0
2009-06-14,21.0
2009-06-15,21.0
2009-06-16,20.0
2009-06-17,21.0
2009-06-18,22.0
2009-06-19,23.0
2009-06-20,22.0
2009-06-21,23.0
2009-06-22,22.0
2009-06-23,21.0
2009-06-24,21.0
2009-06-25,21.0
2009-06-26,19.0
2009-06-27,20.0
2009-06-28,21.0
2009-06-29,20.0
2009-06-30,21.0
2009-07-01,21.0
2009-07-02,20.0
2009-07-03,20.0
2009-07-04,20.0
2009-07-05,20.0
2009-07-06,20.0
2009-07-07,19.0
2009-07-08,20.0
2009-07-09,21.0
2009-07-10,18.0
2009-07-11,18.0
2009-07-12,18.0
2009-07-13,21.0
2009-07-14,22.0
2009-07-15,22.0
2009-07-16,23.0
2009-07-17,22.0
2009-07-18,21.0
2009-07-19,21.0
2009-07-20,20.0
2009-07-21,19.0
2009-07-22,19.0
2009-07-23,19.0
2009-07-24,17.0
2009-07-25,19.0
2009-07-26,21.0
2009-07-27,19.0
2009-07-28,18.0
2009-07-29,17.0
2009-07-30,15.0
2009-07-31,16.0
2009-08-01,18.0
2009-08-02,20.0
2009-08-03,20.0
2009-08-04,20.0
2009-08-05,20.0
2009-08-06,20.0
2009-08-07,18.0
2009-08-08,17.0
2009-08-09,18.0
2009-08-10,19.0
2009-08-11,20.0
2009-08-12,17.0
2009-08-13,16.0
2009-08-14,16.0
2009-08-15,15.0
2009-08-16,15.0
2009-08-17,15.0
2009-08-18,14.0
2009-08-19,14.0
2009-08-20,16.0
2009-08-21,17.0
2009-08-22,17.0
2009-08-23,17.0
2009-08-24,15.0
2009-08-25,14.0
2009-08-26,15.0
2009-08-27,17.0
2009-08-28,18.0
2009-08-29,18.0
2009-08-30,17.0
2009-08-31,15.0
2009-09-01,14.0
2009-09-02,14.0
2009-09-03,14.0
2009-09-04,17.0
2009-09-05,17.0
2009-09-06,17.0
2009-09-07,17.0
2009-09-08,17.0
2009-09-09,18.0
2009-09-10,18.0
2009-09-11,20.0
2009-09-12,20.0
2009-09-13,23.0
2009-09-14,24.0
2009-09-15,24.0
2009-09-16,25.0
2009-09-17,25.0
2009-09-18,27.0
2009-09-19,25.0
2009-09-20,25.0
2009-09-21,24.0
2009-09-22,24.0
2009-09-23,24.0
2009-09-24,23.0
2009-09-25,23.0
2009-09-26,23.0
2009-09-27,22.0
2009-09-28,22.0
2009-09-29,23.0
2009-09-30,23.0
2009-10-01,21.0
2009-10-02,23.0
2009-10-03,24.0
2009-10-04,21.0
2009-10-05,21.0
2009-10-06,21.0
2009-10-07,22.0
2009-10-08,21.0
2009-10-09,19.0
2009-10-10,20.0
2009-10-11,19.0
2009-10-12,19.0
2009-10-13,17.0
2009-10-14,18.0
2009-10-15,19.0
2009-10-16,18.0
2009-10-17,18.0
2009-10-18,17.0
2009-10-19,18.0
2009-10-20,17.0
2009-10-21,18.0
2009-10-22,18.0
2009-10-23,18.0
2009-10-24,18.0
2009-10-25,18.0
2009-10-26,16.0
2009-10-27,16.0
2009-10-28,16.0
2009-10-29,17.0
2009-10-30,18.0
2009-10-31,18.0
2009-11-01,16.0
2009-11-02,15.0
2009-11-03,17.0
2009-11-04,17.0
2009-11-05,17.0
2009-11-06,16.0
2009-11-07,17.0
2009-11-08,18.0
2009-11-09,17.0
2009-11-10,17.0
2009-11-11,17.0
2009-11-12,18.0
2009-11-13,17.0
2009-11-14,18.0
2009-11-15,20.0
2009-11-16,20.0
2009-11-17,20.0
2009-11-18,19.0
2009-11-19,20.0
2009-11-20,20.0
2009-11-21,20.0
2009-11-22,21.0
2009-11-23,21.0
2009-11-24,21.0
2009-11-25,25.0
2009-11-26,25.0
2009-11-27,25.0
2009-11-28,23.0
2009-11-29,22.0
2009-11-30,26.0
2009-12-01,26.0
2009-12-02,27.0
2009-12-03,28.0
2009-12-04,28.0
2009-12-05,29.0
2009-12-06,29.0
2009-12-07,28.0
2009-12-08,29.0
2009-12-09,28.0
2009-12-10,27.0
2009-12-11,28.0
2009-12-12,29.0
2009-12-13,28.0
2009-12-14,26.0
2009-12-15,24.0
2009-12-16,25.0
2009-12-17,24.0
2009-12-18,25.0
2009-12-19,25.0
2009-12-20,26.0
2009-12-21,26.0
2009-12-22,26.0
2009-12-23,26.0
2009-12-24,26.0
2009-12-25,22.0
2009-12-26,25.0
2009-12-27,26.0
2009-12-28,26.0
2009-12-29,27.0
2009-12-30,24.0
2009-12-31,25.0
2010-01-01,24.0
2010-01-02,21.0
2010-01-03,22.0
2010-01-04,21.0
2010-01-05,21.0
2010-01-06,22.0
2010-01-07,21.0
2010-01-08,21.0
2010-01-09,21.0
2010-01-10,22.0
2010-01-11,19.0
2010-01-12,19.0
2010-01-13,19.0
2010-01-14,19.0
2010-01-15,18.0
2010-01-16,19.0
2010-01-17,18.0
2010-01-18,19.0
2010-01-19,18.0
2010-01-20,18.0
2010-01-21,17.0
2010-01-22,17.0
2010-01-23,17.0
2010-01-24,17.0
2010-01-25,15.0
2010-01-26,14.0
2010-01-27,14.0
2010-01-28,13.0
2010-01-29,13.0
2010-01-30,12.0
2010-01-31,12.0
2010-02-01,13.0
2010-02-02,12.0
2010-02-03,13.0
2010-02-04,13.0
2010-02-05,13.0
2010-02-06,13.0
2010-02-07,14.0
2010-02-08,14.0
2010-02-09,12.0
2010-02-10,12.0
2010-02-11,12.0
2010-02-12,12.0
2010-02-13,12.0
2010-02-14,12.0
2010-02-15,11.0
2010-02-16,12.0
2010-02-17,12.0
2010-02-18,11.0
2010-02-19,11.0
2010-02-20,12.0
2010-02-21,13.0
2010-02-22,12.0
2010-02-23,13.0
2010-02-24,12.0
2010-02-25,12.0
2010-02-26,13.0
2010-02-27,13.0
2010-02-28,12.0
2010-03-01,12.0
2010-03-02,12.0
2010-03-03,13.0
2010-03-04,14.0
2010-03-05,14.0
2010-03-06,14.0
2010-03-07,13.0
2010-03-08,12.0
2010-03-09,11.0
2010-03-10,11.0
2010-03-11,11.0
2010-03-12,12.0
2010-03-13,12.0
2010-03-14,13.0
2010-03-15,15.0
2010-03-16,15.0
2010-03-17,15.0
2010-03-18,15.0
2010-03-19,13.0
2010-03-20,13.0
2010-03-21,15.0
2010-03-22,15.0
2010-03-23,15.0
2010-03-24,15.0
2010-03-25,14.0
2010-03-26,14.0
2010-03-27,15.0
2010-03-28,15.0
2010-03-29,16.0
2010-03-30,16.0
2010-03-31,16.0
2010-04-01,16.0
2010-04-02,14.0
2010-04-03,13.0
2010-04-04,12.0
2010-04-05,12.0
2010-04-06,13.0
2010-04-07,14.0
2010-04-08,15.0
2010-04-09,15.0
2010-04-10,16.0
2010-04-11,17.0
2010-04-12,17.0
2010-04-13,16.0
2010-04-14,14.0
2010-04-15,14.0
2010-04-16,16.0
2010-04-17,16.0
2010-04-18,18.0
2010-04-19,18.0
2010-04-20,17.0
2010-04-21,16.0
2010-04-22,15.0
2010-04-23,15.0
2010-04-24,15.0
2010-04-25,16.0
2010-04-26,16.0
2010-04-27,16.0
2010-04-28,15.0
2010-04-29,16.0
2010-04-30,16.0
2010-05-01,16.0
2010-05-02,16.0
2010-05-03,17.0
2010-05-04,18.0
2010-05-05,20.0
2010-05-06,19.0
2010-05-07,19.0
2010-05-08,21.0
2010-05-09,21.0
2010-05-10,20.0
2010-05-11,18.0
2010-05-12,19.0
2010-05-13,19.0
2010-05-14,20.0
2010-05-15,21.0
2010-05-16,19.0
2010-05-17,19.0
2010-05-18,17.0
2010-05-19,17.0
2010-05-20,18.0
2010-05-21,18.0
2010-05-22,18.0
2010-05-23,18.0
2010-05-24,19.0
2010-05-25,18.0
2010-05-26,17.0
2010-05-27,16.0
2010-05-28,16.0
2010-05-29,18.0
2010-05-30,21.0
2010-05-31,23.0
2010-06-01,25.0
2010-06-02,24.0
2010-06-03,23.0
2010-06-04,23.0
2010-06-05,24.0
2010-06-06,23.0
2010-06-07,21.0
2010-06-08,21.0
2010-06-09,21.0
2010-06-10,21.0
2010-06-11,21.0
2010-06-12,21.0
2010-06-13,21.0
2010-06-14,21.0
2010-06-15,22.0
2010-06-16,21.0
2010-06-17,21.0
2010-06-18,21.0
2010-06-19,20.0
2010-06-20,21.0
2010-06-21,22.0
2010-06-22,22.0
2010-06-23,22.0
