LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,004-008,DEMOCRAT,239,50,24,4,466
Allegany,06,01C,004-008,GREEN,1,0,1,0,3
Allegany,06,01C,004-008,LIBERTARIAN,3,1,0,0,7
Allegany,06,01C,004-008,OTHER PARTIES,6,2,0,1,12
Allegany,06,01C,004-008,REPUBLICAN,284,75,13,5,501
Allegany,06,01C,004-008,UNAFFILIATED,80,15,6,4,220
Allegany,06,01B,005-004,DEMOCRAT,206,58,24,8,451
Allegany,06,01B,005-004,GREEN,2,1,0,0,4
Allegany,06,01B,005-004,LIBERTARIAN,3,1,0,0,10
Allegany,06,01B,005-004,OTHER PARTIES,5,3,0,0,10
Allegany,06,01B,005-004,REPUBLICAN,245,43,15,6,409
Allegany,06,01B,005-004,UNAFFILIATED,74,15,9,2,184
Allegany,06,01B,005-006,DEMOCRAT,97,10,3,2,179
Allegany,06,01B,005-006,GREEN,1,0,0,0,2
Allegany,06,01B,005-006,LIBERTARIAN,4,0,0,0,4
Allegany,06,01B,005-006,OTHER PARTIES,2,2,0,0,5
Allegany,06,01B,005-006,REPUBLICAN,154,23,4,1,248
Allegany,06,01B,005-006,UNAFFILIATED,34,1,3,1,73
Allegany,06,01C,006-001,DEMOCRAT,227,83,43,9,485
Allegany,06,01C,006-001,GREEN,1,2,0,0,5
Allegany,06,01C,006-001,LIBERTARIAN,3,2,0,0,13
Allegany,06,01C,006-001,OTHER PARTIES,3,5,2,0,18
Allegany,06,01C,006-001,REPUBLICAN,253,77,32,13,495
Allegany,06,01C,006-001,UNAFFILIATED,69,19,6,4,188
Allegany,06,01C,006-003,DEMOCRAT,119,59,15,11,288
Allegany,06,01C,006-003,GREEN,1,0,0,0,3
Allegany,06,01C,006-003,LIBERTARIAN,1,0,0,0,3
Allegany,06,01C,006-003,OTHER PARTIES,2,0,1,0,6
Allegany,06,01C,006-003,REPUBLICAN,119,35,13,3,236
Allegany,06,01C,006-003,UNAFFILIATED,37,6,2,4,93
Allegany,06,01C,006-005,DEMOCRAT,206,82,31,5,427
Allegany,06,01C,006-005,GREEN,2,0,0,1,4
Allegany,06,01C,006-005,LIBERTARIAN,2,0,0,0,5
Allegany,06,01C,006-005,OTHER PARTIES,2,2,0,0,8
Allegany,06,01C,006-005,REPUBLICAN,243,65,25,6,424
Allegany,06,01C,006-005,UNAFFILIATED,52,17,4,5,144
Allegany,06,01B,006-006,DEMOCRAT,246,51,18,5,481
Allegany,06,01B,006-006,GREEN,4,0,0,0,5
Allegany,06,01B,006-006,LIBERTARIAN,2,0,1,0,5
Allegany,06,01B,006-006,OTHER PARTIES,7,0,0,0,9
Allegany,06,01B,006-006,REPUBLICAN,412,72,13,9,643
Allegany,06,01B,006-006,UNAFFILIATED,89,14,1,4,196
Allegany,06,01B,007-001,DEMOCRAT,282,53,16,9,516
Allegany,06,01B,007-001,GREEN,0,0,0,0,3
Allegany,06,01B,007-001,LIBERTARIAN,3,0,0,1,9
Allegany,06,01B,007-001,OTHER PARTIES,6,1,0,0,9
Allegany,06,01B,007-001,REPUBLICAN,451,39,22,15,687
Allegany,06,01B,007-001,UNAFFILIATED,123,13,4,14,232
Allegany,06,01A,007-002,DEMOCRAT,268,48,11,8,476
Allegany,06,01A,007-002,GREEN,0,0,0,0,1
Allegany,06,01A,007-002,LIBERTARIAN,4,1,1,0,10
Allegany,06,01A,007-002,OTHER PARTIES,11,2,0,0,16
Allegany,06,01A,007-002,REPUBLICAN,552,69,28,13,826
Allegany,06,01A,007-002,UNAFFILIATED,124,16,7,4,235
Allegany,06,01A,008-000,DEMOCRAT,353,11,19,6,596
Allegany,06,01A,008-000,GREEN,4,0,0,0,5
Allegany,06,01A,008-000,LIBERTARIAN,4,0,1,0,7
Allegany,06,01A,008-000,OTHER PARTIES,9,0,1,0,19
Allegany,06,01A,008-000,REPUBLICAN,790,30,27,14,1144
Allegany,06,01A,008-000,UNAFFILIATED,160,9,7,5,322
Allegany,06,01A,009-000,DEMOCRAT,101,6,6,4,170
Allegany,06,01A,009-000,GREEN,0,0,0,0,0
Allegany,06,01A,009-000,LIBERTARIAN,0,0,0,0,2
Allegany,06,01A,009-000,OTHER PARTIES,3,0,0,0,4
Allegany,06,01A,009-000,REPUBLICAN,372,13,12,9,526
Allegany,06,01A,009-000,UNAFFILIATED,56,9,3,3,128
Allegany,06,01A,010-000,DEMOCRAT,125,6,7,0,218
Allegany,06,01A,010-000,GREEN,0,0,0,0,1
Allegany,06,01A,010-000,LIBERTARIAN,1,0,0,0,5
Allegany,06,01A,010-000,OTHER PARTIES,1,0,0,0,3
Allegany,06,01A,010-000,REPUBLICAN,619,27,19,4,870
Allegany,06,01A,010-000,UNAFFILIATED,56,2,1,3,148
Allegany,06,01B,011-000,DEMOCRAT,219,25,13,9,342
Allegany,06,01B,011-000,GREEN,1,0,1,1,6
Allegany,06,01B,011-000,LIBERTARIAN,3,0,0,0,4
Allegany,06,01B,011-000,OTHER PARTIES,3,1,0,0,5
Allegany,06,01B,011-000,REPUBLICAN,240,20,25,3,369
Allegany,06,01B,011-000,UNAFFILIATED,75,5,1,6,119
Allegany,06,01B,012-000,DEMOCRAT,387,54,27,55,690
Allegany,06,01B,012-000,GREEN,3,0,0,1,8
Allegany,06,01B,012-000,LIBERTARIAN,6,1,0,1,15
Allegany,06,01B,012-000,OTHER PARTIES,5,0,3,0,15
Allegany,06,01B,012-000,REPUBLICAN,592,65,44,28,942
Allegany,06,01B,012-000,UNAFFILIATED,148,22,10,23,328
Allegany,06,01B,013-000,DEMOCRAT,257,14,13,1,440
Allegany,06,01B,013-000,GREEN,0,0,0,0,1
Allegany,06,01B,013-000,LIBERTARIAN,3,0,0,0,5
Allegany,06,01B,013-000,OTHER PARTIES,5,0,0,0,7
Allegany,06,01B,013-000,REPUBLICAN,508,39,22,9,771
Allegany,06,01B,013-000,UNAFFILIATED,124,4,2,6,232
Allegany,06,01B,014-000,DEMOCRAT,110,23,12,4,259
Allegany,06,01B,014-000,GREEN,0,0,0,0,0
Allegany,06,01B,014-000,LIBERTARIAN,2,1,0,0,7
Allegany,06,01B,014-000,OTHER PARTIES,1,1,2,0,6
Allegany,06,01B,014-000,REPUBLICAN,74,20,4,3,157
Allegany,06,01B,014-000,UNAFFILIATED,37,3,1,0,100
Allegany,06,01C,016-000,DEMOCRAT,236,34,16,0,397
Allegany,06,01C,016-000,GREEN,1,1,1,0,8
Allegany,06,01C,016-000,LIBERTARIAN,5,0,0,0,9
Allegany,06,01C,016-000,OTHER PARTIES,5,2,0,0,12
Allegany,06,01C,016-000,REPUBLICAN,514,92,34,2,810
Allegany,06,01C,016-000,UNAFFILIATED,106,16,4,0,194
Allegany,06,01B,018-000,DEMOCRAT,178,13,10,4,319
Allegany,06,01B,018-000,GREEN,0,0,0,0,1
Allegany,06,01B,018-000,LIBERTARIAN,4,0,0,0,4
Allegany,06,01B,018-000,OTHER PARTIES,1,0,0,0,3
Allegany,06,01B,018-000,REPUBLICAN,631,50,43,5,896
Allegany,06,01B,018-000,UNAFFILIATED,86,3,2,5,158
Allegany,06,01B,020-000,DEMOCRAT,199,31,12,3,358
Allegany,06,01B,020-000,GREEN,1,0,0,0,4
Allegany,06,01B,020-000,LIBERTARIAN,4,0,0,0,7
Allegany,06,01B,020-000,OTHER PARTIES,2,0,2,0,10
Allegany,06,01B,020-000,REPUBLICAN,509,63,10,11,730
Allegany,06,01B,020-000,UNAFFILIATED,92,15,3,5,176
Allegany,06,01B,021-000,DEMOCRAT,135,21,5,1,226
Allegany,06,01B,021-000,GREEN,0,0,0,0,1
Allegany,06,01B,021-000,LIBERTARIAN,0,0,0,0,2
Allegany,06,01B,021-000,OTHER PARTIES,3,0,0,0,5
Allegany,06,01B,021-000,REPUBLICAN,326,41,9,2,439
Allegany,06,01B,021-000,UNAFFILIATED,48,8,2,3,131
Allegany,06,01C,022-001,DEMOCRAT,267,79,27,23,597
Allegany,06,01C,022-001,GREEN,0,0,0,0,3
Allegany,06,01C,022-001,LIBERTARIAN,3,1,0,0,8
Allegany,06,01C,022-001,OTHER PARTIES,6,2,2,0,13
Allegany,06,01C,022-001,REPUBLICAN,294,108,22,6,615
Allegany,06,01C,022-001,UNAFFILIATED,100,31,4,10,272
Allegany,06,01B,022-002,DEMOCRAT,18,15,0,0,40
Allegany,06,01B,022-002,GREEN,0,0,0,0,0
Allegany,06,01B,022-002,LIBERTARIAN,2,0,0,0,2
Allegany,06,01B,022-002,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,022-002,REPUBLICAN,33,8,4,0,51
Allegany,06,01B,022-002,UNAFFILIATED,4,0,0,2,10
Allegany,06,01B,023-000,DEMOCRAT,351,78,26,5,713
Allegany,06,01B,023-000,GREEN,2,0,0,0,5
Allegany,06,01B,023-000,LIBERTARIAN,5,1,1,0,11
Allegany,06,01B,023-000,OTHER PARTIES,4,2,3,2,12
Allegany,06,01B,023-000,REPUBLICAN,429,58,18,8,695
Allegany,06,01B,023-000,UNAFFILIATED,122,16,5,6,335
Allegany,06,01B,024-000,DEMOCRAT,191,22,23,4,356
Allegany,06,01B,024-000,GREEN,2,0,1,0,4
Allegany,06,01B,024-000,LIBERTARIAN,4,0,1,0,6
Allegany,06,01B,024-000,OTHER PARTIES,7,1,3,0,14
Allegany,06,01B,024-000,REPUBLICAN,444,52,37,8,694
Allegany,06,01B,024-000,UNAFFILIATED,77,7,6,1,171
Allegany,06,01B,026-000,DEMOCRAT,379,63,41,345,673
Allegany,06,01B,026-000,GREEN,2,0,1,3,7
Allegany,06,01B,026-000,LIBERTARIAN,14,0,1,4,20
Allegany,06,01B,026-000,OTHER PARTIES,7,0,0,3,13
Allegany,06,01B,026-000,REPUBLICAN,465,40,30,77,724
Allegany,06,01B,026-000,UNAFFILIATED,145,19,14,80,341
Allegany,06,01B,029-001,DEMOCRAT,310,61,26,6,532
Allegany,06,01B,029-001,GREEN,0,0,0,1,5
Allegany,06,01B,029-001,LIBERTARIAN,5,1,0,0,10
Allegany,06,01B,029-001,OTHER PARTIES,5,1,0,0,9
Allegany,06,01B,029-001,REPUBLICAN,601,114,40,5,934
Allegany,06,01B,029-001,UNAFFILIATED,121,25,3,3,270
Allegany,06,01B,029-002,DEMOCRAT,295,46,25,8,503
Allegany,06,01B,029-002,GREEN,1,0,0,0,3
Allegany,06,01B,029-002,LIBERTARIAN,7,0,0,1,11
Allegany,06,01B,029-002,OTHER PARTIES,5,1,1,0,10
Allegany,06,01B,029-002,REPUBLICAN,555,90,28,6,816
Allegany,06,01B,029-002,UNAFFILIATED,107,19,6,6,214
Allegany,06,01B,029-003,DEMOCRAT,238,52,23,3,426
Allegany,06,01B,029-003,GREEN,0,0,0,0,1
Allegany,06,01B,029-003,LIBERTARIAN,1,1,0,0,5
Allegany,06,01B,029-003,OTHER PARTIES,5,1,0,1,11
Allegany,06,01B,029-003,REPUBLICAN,380,56,18,6,570
Allegany,06,01B,029-003,UNAFFILIATED,66,11,2,3,150
Allegany,06,01A,031-000,DEMOCRAT,147,25,10,0,290
Allegany,06,01A,031-000,GREEN,0,0,0,0,0
Allegany,06,01A,031-000,LIBERTARIAN,1,0,0,0,2
Allegany,06,01A,031-000,OTHER PARTIES,4,0,2,0,8
Allegany,06,01A,031-000,REPUBLICAN,377,45,15,3,571
Allegany,06,01A,031-000,UNAFFILIATED,79,10,1,1,164
Allegany,06,01B,034-000,DEMOCRAT,261,54,24,3,451
Allegany,06,01B,034-000,GREEN,1,0,0,0,3
Allegany,06,01B,034-000,LIBERTARIAN,1,0,0,1,5
Allegany,06,01B,034-000,OTHER PARTIES,7,0,0,0,10
Allegany,06,01B,034-000,REPUBLICAN,420,70,17,7,630
Allegany,06,01B,034-000,UNAFFILIATED,104,11,5,3,204
Allegany,,,Unable to Determine,DEMOCRAT,0,0,0,34,
Allegany,,,Unable to Determine,GREEN,0,0,0,0,
Allegany,,,Unable to Determine,LIBERTARIAN,0,0,0,0,
Allegany,,,Unable to Determine,OTHER PARTIES,0,0,0,1,
Allegany,,,Unable to Determine,REPUBLICAN,0,0,0,10,
Allegany,,,Unable to Determine,UNAFFILIATED,0,0,0,5,
Anne Arundel,03,32,001-001,DEMOCRAT,396,108,22,8,710
Anne Arundel,03,32,001-001,GREEN,0,0,1,0,4
Anne Arundel,03,32,001-001,LIBERTARIAN,4,3,0,0,12
Anne Arundel,03,32,001-001,OTHER PARTIES,2,2,1,0,7
Anne Arundel,03,32,001-001,REPUBLICAN,421,92,18,15,652
Anne Arundel,03,32,001-001,UNAFFILIATED,145,26,10,3,293
Anne Arundel,03,32,001-002,DEMOCRAT,341,59,31,11,580
Anne Arundel,03,32,001-002,GREEN,3,0,0,1,5
Anne Arundel,03,32,001-002,LIBERTARIAN,1,0,0,0,4
Anne Arundel,03,32,001-002,OTHER PARTIES,2,0,0,1,3
Anne Arundel,03,32,001-002,REPUBLICAN,409,82,15,3,636
Anne Arundel,03,32,001-002,UNAFFILIATED,161,20,5,14,292
Anne Arundel,03,32,001-003,DEMOCRAT,354,171,19,33,907
Anne Arundel,03,32,001-003,GREEN,3,0,0,0,3
Anne Arundel,03,32,001-003,LIBERTARIAN,8,2,0,0,15
Anne Arundel,03,32,001-003,OTHER PARTIES,1,1,0,0,4
Anne Arundel,03,32,001-003,REPUBLICAN,377,118,15,35,743
Anne Arundel,03,32,001-003,UNAFFILIATED,162,39,5,11,436
Anne Arundel,02,31A,001-004,DEMOCRAT,503,231,55,23,1189
Anne Arundel,02,31A,001-004,GREEN,0,0,0,0,2
Anne Arundel,02,31A,001-004,LIBERTARIAN,2,1,0,1,5
Anne Arundel,02,31A,001-004,OTHER PARTIES,4,2,1,0,10
Anne Arundel,02,31A,001-004,REPUBLICAN,210,76,15,11,448
Anne Arundel,02,31A,001-004,UNAFFILIATED,140,30,11,6,356
Anne Arundel,02,32,001-005,DEMOCRAT,349,197,38,14,835
Anne Arundel,02,32,001-005,GREEN,0,3,0,0,5
Anne Arundel,02,32,001-005,LIBERTARIAN,2,1,1,0,6
Anne Arundel,02,32,001-005,OTHER PARTIES,2,0,0,0,6
Anne Arundel,02,32,001-005,REPUBLICAN,234,100,11,7,493
Anne Arundel,02,32,001-005,UNAFFILIATED,144,59,16,13,384
Anne Arundel,02,32,001-006,DEMOCRAT,522,293,46,41,1219
Anne Arundel,02,32,001-006,GREEN,2,0,0,0,6
Anne Arundel,02,32,001-006,LIBERTARIAN,7,1,1,0,15
Anne Arundel,02,32,001-006,OTHER PARTIES,2,0,1,0,5
Anne Arundel,02,32,001-006,REPUBLICAN,245,75,23,7,542
Anne Arundel,02,32,001-006,UNAFFILIATED,163,78,6,12,469
Anne Arundel,02,32,001-007,DEMOCRAT,302,66,19,12,591
Anne Arundel,02,32,001-007,GREEN,5,0,0,0,6
Anne Arundel,02,32,001-007,LIBERTARIAN,4,1,0,0,9
Anne Arundel,02,32,001-007,OTHER PARTIES,4,2,0,1,6
Anne Arundel,02,32,001-007,REPUBLICAN,383,41,13,12,596
Anne Arundel,02,32,001-007,UNAFFILIATED,156,24,8,8,328
Anne Arundel,03,32,001-008,DEMOCRAT,414,119,38,12,876
Anne Arundel,03,32,001-008,GREEN,3,0,0,0,5
Anne Arundel,03,32,001-008,LIBERTARIAN,3,2,1,0,11
Anne Arundel,03,32,001-008,OTHER PARTIES,1,0,0,0,4
Anne Arundel,03,32,001-008,REPUBLICAN,455,110,16,2,814
Anne Arundel,03,32,001-008,UNAFFILIATED,182,43,11,3,458
Anne Arundel,03,32,001-009,DEMOCRAT,325,154,19,0,711
Anne Arundel,03,32,001-009,GREEN,1,0,0,0,2
Anne Arundel,03,32,001-009,LIBERTARIAN,2,3,0,0,8
Anne Arundel,03,32,001-009,OTHER PARTIES,3,1,0,0,3
Anne Arundel,03,32,001-009,REPUBLICAN,417,145,18,13,761
Anne Arundel,03,32,001-009,UNAFFILIATED,166,42,9,5,370
Anne Arundel,02,32,001-010,DEMOCRAT,299,60,20,6,499
Anne Arundel,02,32,001-010,GREEN,1,0,0,0,2
Anne Arundel,02,32,001-010,LIBERTARIAN,4,0,0,0,5
Anne Arundel,02,32,001-010,OTHER PARTIES,1,5,0,0,7
Anne Arundel,02,32,001-010,REPUBLICAN,344,64,15,8,521
Anne Arundel,02,32,001-010,UNAFFILIATED,116,17,11,2,245
Anne Arundel,02,32,001-011,DEMOCRAT,222,61,15,7,400
Anne Arundel,02,32,001-011,GREEN,1,1,0,0,7
Anne Arundel,02,32,001-011,LIBERTARIAN,2,0,0,0,3
Anne Arundel,02,32,001-011,OTHER PARTIES,0,0,0,0,1
Anne Arundel,02,32,001-011,REPUBLICAN,339,38,7,7,478
Anne Arundel,02,32,001-011,UNAFFILIATED,127,18,9,4,228
Anne Arundel,02,31A,001-012,DEMOCRAT,691,303,24,55,1658
Anne Arundel,02,31A,001-012,GREEN,4,1,0,2,9
Anne Arundel,02,31A,001-012,LIBERTARIAN,6,2,0,0,12
Anne Arundel,02,31A,001-012,OTHER PARTIES,5,1,0,0,11
Anne Arundel,02,31A,001-012,REPUBLICAN,183,60,21,12,459
Anne Arundel,02,31A,001-012,UNAFFILIATED,190,60,14,29,536
Anne Arundel,02,31A,001-013,DEMOCRAT,249,46,10,17,580
Anne Arundel,02,31A,001-013,GREEN,2,0,0,0,6
Anne Arundel,02,31A,001-013,LIBERTARIAN,5,2,0,1,11
Anne Arundel,02,31A,001-013,OTHER PARTIES,2,0,0,0,3
Anne Arundel,02,31A,001-013,REPUBLICAN,141,31,3,11,277
Anne Arundel,02,31A,001-013,UNAFFILIATED,95,5,0,5,251
Anne Arundel,03,31A,001-014,DEMOCRAT,347,157,28,22,815
Anne Arundel,03,31A,001-014,GREEN,1,0,0,0,3
Anne Arundel,03,31A,001-014,LIBERTARIAN,6,1,0,0,10
Anne Arundel,03,31A,001-014,OTHER PARTIES,1,0,0,0,3
Anne Arundel,03,31A,001-014,REPUBLICAN,354,72,15,16,595
Anne Arundel,03,31A,001-014,UNAFFILIATED,124,39,9,6,351
Anne Arundel,02,31A,001-015,DEMOCRAT,412,96,24,15,840
Anne Arundel,02,31A,001-015,GREEN,0,0,0,0,4
Anne Arundel,02,31A,001-015,LIBERTARIAN,1,0,0,0,7
Anne Arundel,02,31A,001-015,OTHER PARTIES,1,0,1,0,5
Anne Arundel,02,31A,001-015,REPUBLICAN,327,50,7,7,522
Anne Arundel,02,31A,001-015,UNAFFILIATED,161,22,8,7,346
Anne Arundel,02,31A,001-016,DEMOCRAT,458,82,22,17,977
Anne Arundel,02,31A,001-016,GREEN,1,0,0,0,4
Anne Arundel,02,31A,001-016,LIBERTARIAN,2,1,0,0,8
Anne Arundel,02,31A,001-016,OTHER PARTIES,1,1,1,1,5
Anne Arundel,02,31A,001-016,REPUBLICAN,282,62,8,5,549
Anne Arundel,02,31A,001-016,UNAFFILIATED,143,30,5,7,386
Anne Arundel,02,31A,001-017,DEMOCRAT,282,80,12,17,640
Anne Arundel,02,31A,001-017,GREEN,1,0,0,0,4
Anne Arundel,02,31A,001-017,LIBERTARIAN,5,0,0,0,10
Anne Arundel,02,31A,001-017,OTHER PARTIES,1,0,0,0,3
Anne Arundel,02,31A,001-017,REPUBLICAN,187,50,1,4,373
Anne Arundel,02,31A,001-017,UNAFFILIATED,105,16,0,10,310
Anne Arundel,02,31A,001-018,DEMOCRAT,610,323,60,24,1545
Anne Arundel,02,31A,001-018,GREEN,1,1,0,0,2
Anne Arundel,02,31A,001-018,LIBERTARIAN,4,0,1,1,13
Anne Arundel,02,31A,001-018,OTHER PARTIES,8,0,0,0,11
Anne Arundel,02,31A,001-018,REPUBLICAN,303,99,22,10,632
Anne Arundel,02,31A,001-018,UNAFFILIATED,176,52,22,8,514
Anne Arundel,02,32,001-019,DEMOCRAT,454,402,48,52,1215
Anne Arundel,02,32,001-019,GREEN,0,0,1,0,4
Anne Arundel,02,32,001-019,LIBERTARIAN,6,1,0,0,11
Anne Arundel,02,32,001-019,OTHER PARTIES,2,2,0,0,8
Anne Arundel,02,32,001-019,REPUBLICAN,208,121,11,4,490
Anne Arundel,02,32,001-019,UNAFFILIATED,163,106,17,4,479
Anne Arundel,02,32,001-020,DEMOCRAT,448,444,53,12,1244
Anne Arundel,02,32,001-020,GREEN,1,1,0,0,6
Anne Arundel,02,32,001-020,LIBERTARIAN,9,3,1,0,18
Anne Arundel,02,32,001-020,OTHER PARTIES,1,3,1,0,6
Anne Arundel,02,32,001-020,REPUBLICAN,244,132,35,5,597
Anne Arundel,02,32,001-020,UNAFFILIATED,163,87,24,7,504
Anne Arundel,02,32,001-021,DEMOCRAT,558,349,35,30,1403
Anne Arundel,02,32,001-021,GREEN,2,0,0,0,2
Anne Arundel,02,32,001-021,LIBERTARIAN,4,2,0,0,10
Anne Arundel,02,32,001-021,OTHER PARTIES,2,2,0,1,8
Anne Arundel,02,32,001-021,REPUBLICAN,127,53,11,1,282
Anne Arundel,02,32,001-021,UNAFFILIATED,142,53,10,9,368
Anne Arundel,02,32,001-022,DEMOCRAT,845,698,115,38,2378
Anne Arundel,02,32,001-022,GREEN,6,0,1,0,13
Anne Arundel,02,32,001-022,LIBERTARIAN,15,7,3,0,40
Anne Arundel,02,32,001-022,OTHER PARTIES,4,1,0,0,14
Anne Arundel,02,32,001-022,REPUBLICAN,417,238,57,21,1106
Anne Arundel,02,32,001-022,UNAFFILIATED,442,226,84,19,1296
Anne Arundel,02,32,001-023,DEMOCRAT,139,71,10,28,288
Anne Arundel,02,32,001-023,GREEN,0,0,0,0,0
Anne Arundel,02,32,001-023,LIBERTARIAN,2,0,0,1,4
Anne Arundel,02,32,001-023,OTHER PARTIES,0,1,0,0,1
Anne Arundel,02,32,001-023,REPUBLICAN,55,22,12,7,134
Anne Arundel,02,32,001-023,UNAFFILIATED,38,14,10,8,116
Anne Arundel,02,32,001-024,DEMOCRAT,325,204,26,11,711
Anne Arundel,02,32,001-024,GREEN,1,0,0,0,1
Anne Arundel,02,32,001-024,LIBERTARIAN,2,2,0,0,7
Anne Arundel,02,32,001-024,OTHER PARTIES,0,2,2,0,6
Anne Arundel,02,32,001-024,REPUBLICAN,155,62,15,2,333
Anne Arundel,02,32,001-024,UNAFFILIATED,132,50,12,4,312
Anne Arundel,02,32,001-025,DEMOCRAT,217,89,9,3,476
Anne Arundel,02,32,001-025,GREEN,2,1,0,0,4
Anne Arundel,02,32,001-025,LIBERTARIAN,1,0,0,0,4
Anne Arundel,02,32,001-025,OTHER PARTIES,1,0,2,1,6
Anne Arundel,02,32,001-025,REPUBLICAN,225,58,9,7,425
Anne Arundel,02,32,001-025,UNAFFILIATED,145,33,6,5,296
Anne Arundel,02,32,001-026,DEMOCRAT,963,414,48,72,2376
Anne Arundel,02,32,001-026,GREEN,0,1,0,0,3
Anne Arundel,02,32,001-026,LIBERTARIAN,7,0,0,1,14
Anne Arundel,02,32,001-026,OTHER PARTIES,3,0,1,1,6
Anne Arundel,02,32,001-026,REPUBLICAN,136,55,9,4,331
Anne Arundel,02,32,001-026,UNAFFILIATED,202,69,12,17,607
Anne Arundel,03,32,002-001,DEMOCRAT,270,168,40,16,666
Anne Arundel,03,32,002-001,GREEN,3,0,0,0,4
Anne Arundel,03,32,002-001,LIBERTARIAN,4,1,2,0,8
Anne Arundel,03,32,002-001,OTHER PARTIES,4,0,3,0,12
Anne Arundel,03,32,002-001,REPUBLICAN,320,117,26,11,629
Anne Arundel,03,32,002-001,UNAFFILIATED,116,58,18,11,343
Anne Arundel,04,32,002-002,DEMOCRAT,382,120,26,13,730
Anne Arundel,04,32,002-002,GREEN,2,1,0,0,8
Anne Arundel,04,32,002-002,LIBERTARIAN,6,0,0,0,7
Anne Arundel,04,32,002-002,OTHER PARTIES,1,0,1,0,2
Anne Arundel,04,32,002-002,REPUBLICAN,289,78,16,2,510
Anne Arundel,04,32,002-002,UNAFFILIATED,135,24,8,8,293
Anne Arundel,03,32,002-003,DEMOCRAT,392,113,19,17,769
Anne Arundel,03,32,002-003,GREEN,1,0,0,0,3
Anne Arundel,03,32,002-003,LIBERTARIAN,5,1,0,0,14
Anne Arundel,03,32,002-003,OTHER PARTIES,1,1,0,0,4
Anne Arundel,03,32,002-003,REPUBLICAN,376,69,6,10,622
Anne Arundel,03,32,002-003,UNAFFILIATED,153,31,5,5,347
Anne Arundel,03,32,002-004,DEMOCRAT,453,327,43,20,1106
Anne Arundel,03,32,002-004,GREEN,2,0,0,0,4
Anne Arundel,03,32,002-004,LIBERTARIAN,4,3,0,0,10
Anne Arundel,03,32,002-004,OTHER PARTIES,0,3,0,0,8
Anne Arundel,03,32,002-004,REPUBLICAN,346,189,33,7,803
